,bhk,type,area,price,region
30804,1,Apartment,550,14000000.0,Andheri East
30805,2,Apartment,900,31500000.0,Powai
30806,2,Apartment,900,14500000.0,Andheri East
30807,1,Apartment,679,5590000.0,Thane West
30808,2,Apartment,735,4500000.0,Thane West
30816,1,Apartment,650,12500000.0,Malad West
30817,1,Apartment,550,11000000.0,Goregaon West
30818,2,Apartment,750,19000000.0,Andheri West
30820,2,Apartment,962,8999000.0,Thane West
30821,1,Apartment,735,11000000.0,Andheri East
30822,2,Apartment,1143,17000000.0,Andheri East
30823,4,Apartment,2250,120000000.0,Andheri West
30825,3,Apartment,1414,47500000.0,Santacruz East
30826,2,Apartment,1225,16500000.0,Ghansoli
30827,2,Apartment,856,17000000.0,Andheri East
30832,7,Apartment,6660,295000000.0,Andheri West
30834,8,Apartment,7500,500000000.0,Andheri West
30838,6,Apartment,3250,151500000.0,Andheri West
30844,1,Apartment,444,7000000.0,Vikhroli
30845,2,Apartment,656,12000000.0,Vikhroli
30846,2,Apartment,777,11500000.0,Vikhroli
30847,1,Apartment,500,7500000.0,Vikhroli
